Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Region,Ticket_ID
U7021, acct-011 ,2026/03/25 12:00,Storage,S3-Standard,18471,min,1847.1,ap-south-1,NULL
U7022, acct-011 ,2026-03-19 05:00:00+00:00,Storage,S3-Standard,"""7,303""",units,730.3,us-east-1,NULL
U7023,acct-009,2026/03/11 02:00,Networking,VPN-Gateway,10977,GB,"""₹ 1,097.7""",eu-west-1,NULL
U7023,ACCT-009,2026/03/11 02:00,Networking,VPN-GATEWAY,10977,seconds,1097.7,eu-west-1,NULL
U7024,acct-009,2026/03/20 04:00,Database,RDS-MultiAZ,14410,GB,1441.0,ap-south-1,NULL
U7025,ACCT-010,2026/03/25 02:00,Storage,ebs-vol,"""12,133""",sec,1213.3,global,NULL
U7026,Acct-013,2026-03-29 18:00:00+00:00,SaaS,Monitoring-App,9670,seconds,"""₹ 967.0""",us-east 1,T-603
U7027,ACCT-010,2026-03-10 04:00:00+00:00,Networking,LoadBalancer,11234,units,1123.4,ap-south-1,NULL
U7028, acct-011 ,2026/03/10 00:00,Database,NoSQL-Tbl,14829,sec,1482.9,us-east 1,NULL
U7029,Acct-013,2026-03-13 16:00:00+00:00,Compute,VM-STD-4,"""4,603""",units,"""₹ 460.3""",global,NULL
U7030, acct-011 ,2026-03-12 17:00:00+00:00,Storage,Cold-Archive,1829,min,"""₹ 182.9""",eu-west-1,NULL
U7031,ACCT-010,2026/03/11 05:00,Networking,DataTransfer,"""8,724""",sec,872.4,ap-south 1,NULL
U7032,Acct-013,2026/03/30 12:00,Compute,compute-v2,"""8,558""",min,"""₹ 855.8""",global,NULL
U7033,Acct-013,2026/03/22 25:05,Compute,VM-STD-4,4387,GB,"""₹ 438.7""",ap-south 1,NULL
U7034, acct-011 ,2026-03-20 03:00:00+00:00,Networking,LoadBalancer,5537,min,"""₹ 553.7""",us-east-1,NULL
U7035,Acct-013,2026/03/21 16:00,Storage,Cold-Archive,14453,min,1445.3,ap-south-1,NULL
U7036, acct-011 ,2026-03-26 04:00:00+00:00,Database,Aurora-DB,19775,hrs,"""₹ 1,977.5""",eu-west-1,NULL
U7037, acct-011 ,2026/03/15 22:00,Database,AURORA-DB,"""10,898""",seconds,1089.8,global,NULL
U7038,Acct-013,2026/03/13 22:00,Networking,DataTransfer,8102,hrs,"""₹ 810.2""",us-east-1,NULL
U7039,Acct-013,2026-03-19 11:00:00+00:00,Database,Aurora-DB,7056,units,"""₹ 705.6""",ap-south 1,NULL
U7040,acct-009,2026/03/27 12:00,Database,RDS-MultiAZ,13948,seconds,1394.8,us-east 1,T-250
U7041,acct-009,2026-03-14 21:00:00+00:00,SaaS,Auth-Service,7013,GB,"""₹ 701.3""",global,T-286
U7042,acct-009,2026/03/14 16:00,SaaS,Auth-Service,"""3,865""",min,386.5,eu-west-1,NULL
U7043,ACCT-010,2026/03/25 16:00,Compute,GPU-inst,"""9,460""",hrs,946.0,global,NULL
U7044,Acct-013,2026-03-29 20:00:00+00:00,Storage,Cold-Archive,18928,min,1892.8,ap-south-1,NULL
U7045,acct-009,2026/03/20 01:00,Compute,GPU-inst,"""1,862""",min,186.2,eu-west-1,T-656
U7046,ACCT-012,2026/03/16 08:00,SaaS,Monitoring-App,6477,units,647.7,ap-south 1,NULL
U7047,acct-009,2026/03/17 08:00,SaaS,Auth-Service,"""7,066""",hrs,706.6,ap-south-1,NULL
U7048,ACCT-010,2026-03-13 21:00:00+00:00,Networking,VPN-Gateway,16876,min,1687.6,ap-south-1,NULL
U7049,ACCT-010,2026/03/13 19:00,Database,RDS-MultiAZ,19130,GB,"""₹ 1,913.0""",us-east-1,T-930
U7050,ACCT-012,2026/03/16 11:00,Compute,VM-std_4,11844,sec,"""₹ 1,184.4""",us-east-1,NULL
U7051,ACCT-012,2026/03/18 11:00,Networking,DataTransfer,2666,sec,"""₹ 266.6""",global,T-295
U7052,ACCT-012,2026/03/10 16:00,SaaS,Email-API,7794,units,"""₹ 779.4""",ap-south 1,NULL
U7053,Acct-013,2026/03/11 03:00,Compute,GPU-inst,17248,sec,"""₹ 1,724.8""",us-east 1,NULL
U7054,acct-009,2026/03/10 12:00,Compute,GPU-inst,5687,GB,568.7,eu-west-1,NULL
U7055,ACCT-012,2026-03-24 07:00:00+00:00,SaaS,Monitoring-App,"""11,804""",min,"""₹ 1,180.4""",global,T-111
U7056,ACCT-010,2026/03/24 10:00,Database,Aurora-DB,"""2,577""",units,257.7,us-east-1,NULL
U7057, acct-011 ,2026-03-14 21:00:00+00:00,Database,NoSQL-Tbl,17333,GB,1733.3,ap-south-1,T-592
U7058,Acct-013,2026/03/23 21:00,SaaS,Email-API,8306,seconds,830.6,eu-west-1,NULL
U7059,ACCT-012,2026-03-13 13:00:00+00:00,Storage,Cold-Archive,6170,sec,"""₹ 617.0""",eu-west-1,NULL
U7060,ACCT-010,2026/03/30 14:00,Networking,DataTransfer,17815,units,1781.5,us-east 1,NULL
U7061,acct-009,2026/03/20 00:00,Database,AURORA-DB,8095,hrs,"""₹ 809.5""",us-east-1,T-514
U7062, acct-011 ,2026/03/14 17:00,Compute,VM-std_4,3503,hrs,350.3,eu-west-1,NULL
U7063,ACCT-012,2026/03/29 07:00,SaaS,Auth-Service,15883,seconds,"""₹ 1,588.3""",ap-south-1,T-559
U7064,ACCT-012,2026-03-21 23:00:00+00:00,Networking,DataTransfer,"""3,635""",hrs,"""₹ 363.5""",ap-south 1,NULL
U7065,acct-009,2026/03/27 05:00,Storage,S3-Standard,6455,units,"""₹ 645.5""",eu-west-1,T-176
U7066, acct-011 ,2026/03/25 05:00,SaaS,Email-API,"""5,163""",sec,"""₹ 516.3""",ap-south 1,NULL
U7067, acct-011 ,2026-03-11 09:00:00+00:00,SaaS,Monitoring-App,14871,min,1487.1,ap-south 1,T-152
U7068,Acct-013,2026/03/20 25:05,SaaS,Email-API,"""13,159""",seconds,1315.9,global,NULL
U7068,ACCT-013,2026/03/20 25:05,SaaS,EMAIL-API,13159,seconds,1315.9,global,NULL
U7069,acct-009,2026-03-14 05:00:00+00:00,SaaS,Auth-Service,19029,min,1902.9,global,T-374
U7070, acct-011 ,2026/03/14 19:00,Storage,Cold-Archive,"""7,415""",units,741.5,us-east 1,NULL
U7071,ACCT-010,2026/03/29 05:00,Storage,s3-standard,2160,GB,216.0,us-east 1,NULL
U7072,ACCT-012,2026/03/22 00:00,Storage,Cold-Archive,16873,units,1687.3,ap-south-1,NULL
U7073,ACCT-012,2026/03/24 13:00,SaaS,Monitoring-App,6158,GB,"""₹ 615.8""",us-east-1,NULL
U7074,acct-009,2026/03/23 22:00,Compute,VM-std_4,19342,units,1934.2,eu-west-1,NULL
U7075,ACCT-012,2026-03-23 20:00:00+00:00,Storage,ebs-vol,10052,sec,1005.2,eu-west-1,NULL
U7075,ACCT-012,2026-03-23 20:00:00+00:00,Storage,EBS-VOL,10052,seconds,1005.2,eu-west-1,NULL
U7076,ACCT-012,2026/03/26 25:05,Database,RDS-MultiAZ,5974,min,597.4,us-east-1,T-300
U7077,acct-009,2026-03-14 16:00:00+00:00,Storage,ebs-vol,898,hrs,89.8,ap-south 1,T-419
U7078,ACCT-012,2026/03/22 25:05,Networking,VPN-Gateway,14345,min,1434.5,us-east-1,NULL
U7078,ACCT-012,2026/03/22 25:05,Networking,VPN-GATEWAY,14345,seconds,1434.5,us-east-1,NULL
U7079,acct-009,2026/03/11 03:00,Storage,Cold-Archive,"""9,645""",units,"""₹ 964.5""",us-east 1,NULL
U7080,ACCT-012,2026/03/30 25:05,Database,NoSQL-Tbl,9266,min,926.6,ap-south 1,T-778
U7081,ACCT-010,2026/03/23 20:00,Compute,VM-STD-4,"""17,670""",seconds,1767.0,ap-south-1,T-928
U7082,ACCT-012,2026/03/29 10:00,Storage,s3-standard,"""18,091""",GB,1809.1,ap-south 1,NULL
U7083,Acct-013,2026-03-15 11:00:00+00:00,SaaS,Email-API,9397,GB,"""₹ 939.7""",us-east 1,NULL
U7084, acct-011 ,2026/03/13 03:00,Storage,S3-Standard,"""5,279""",min,527.9,ap-south-1,NULL
U7085,acct-009,2026/03/12 22:00,Networking,VPN-Gateway,5777,min,577.7,us-east 1,NULL
U7085,ACCT-009,2026/03/12 22:00,Networking,VPN-GATEWAY,5777,seconds,577.7,us-east-1,NULL
U7086,ACCT-012,2026/03/10 17:00,Networking,LoadBalancer,"""2,325""",seconds,232.5,global,NULL
U7087, acct-011 ,2026/03/10 07:00,Networking,LoadBalancer,15758,units,1575.8,ap-south 1,T-117
U7088,ACCT-012,2026-03-20 14:00:00+00:00,SaaS,Email-API,920,sec,"""₹ 92.0""",us-east 1,NULL
U7089,acct-009,2026/03/17 04:00,Compute,GPU-inst,9374,sec,937.4,eu-west-1,NULL
U7090,Acct-013,2026/03/12 18:00,Compute,GPU-inst,"""10,603""",hrs,1060.3,global,T-667
U7091,acct-009,2026/03/29 25:05,SaaS,Auth-Service,11318,min,1131.8,us-east-1,NULL
U7092,ACCT-012,2026/03/24 20:00,Networking,VPN-Gateway,12780,units,"""₹ 1,278.0""",us-east 1,T-932
U7093,ACCT-010,2026/03/25 10:00,Storage,Cold-Archive,12904,units,"""₹ 1,290.4""",ap-south-1,T-786
U7093,ACCT-010,2026/03/25 10:00,Storage,COLD-ARCHIVE,12904,seconds,1290.4,ap-south-1,T-786
U7094,acct-009,2026/03/11 10:00,Storage,Cold-Archive,13279,hrs,1327.9,ap-south-1,T-110
U7095, acct-011 ,2026/03/26 18:00,Compute,VM-STD-4,8907,units,"""₹ 890.7""",us-east 1,NULL
U7096,Acct-013,2026/03/16 08:00,Networking,DataTransfer,"""8,125""",min,"""₹ 812.5""",eu-west-1,T-910
U7097,Acct-013,2026/03/24 09:00,Storage,S3-Standard,5427,hrs,542.7,us-east-1,T-869
U7098,acct-009,2026/03/13 13:00,Database,AURORA-DB,14662,sec,1466.2,ap-south-1,NULL
U7098,ACCT-009,2026/03/13 13:00,Database,AURORA-DB,14662,seconds,1466.2,ap-south-1,NULL
U7099,acct-009,2026/03/19 01:00,Networking,VPN-Gateway,17900,units,1790.0,ap-south-1,T-877
U7100,Acct-013,2026/03/27 08:00,Database,Aurora-DB,12121,seconds,1212.1,us-east-1,NULL
U7101,Acct-013,2026/03/24 21:00,Compute,compute-v2,15802,GB,"""₹ 1,580.2""",eu-west-1,NULL
U7102,Acct-013,2026/03/14 11:00,Database,NoSQL-Tbl,15727,GB,"""₹ 1,572.7""",ap-south-1,T-867
U7103,ACCT-010,2026/03/10 20:00,Networking,VPN-Gateway,1823,min,182.3,us-east 1,NULL
U7103,ACCT-010,2026/03/10 20:00,Networking,VPN-GATEWAY,1823,seconds,182.3,us-east-1,NULL
U7104, acct-011 ,2026-03-15 16:00:00+00:00,Database,Aurora-DB,12471,GB,"""₹ 1,247.1""",eu-west-1,T-786
U7105, acct-011 ,2026-03-17 05:00:00+00:00,Networking,VPN-Gateway,"""10,999""",sec,1099.9,global,NULL
U7106,ACCT-012,2026/03/22 02:00,SaaS,Monitoring-App,3386,seconds,"""₹ 338.6""",eu-west-1,NULL
U7107,Acct-013,2026-03-25 22:00:00+00:00,Database,AURORA-DB,8138,sec,813.8,us-east-1,NULL
U7108,Acct-013,2026/03/16 08:00,Compute,VM-std_4,14257,min,1425.7,global,NULL
U7108,ACCT-013,2026/03/16 08:00,Compute,VM-STD_4,14257,seconds,1425.7,global,NULL
U7109,ACCT-012,2026/03/28 21:00,Compute,GPU-inst,1798,sec,"""₹ 179.8""",ap-south-1,T-481
U7110,ACCT-010,2026/03/19 16:00,Database,AURORA-DB,18585,min,"""₹ 1,858.5""",us-east-1,NULL
U7111,ACCT-012,2026-03-17 03:00:00+00:00,Database,RDS-MultiAZ,2311,sec,231.1,us-east-1,NULL
U7112, acct-011 ,2026/03/20 02:00,Compute,GPU-inst,1929,seconds,192.9,us-east-1,T-847
U7113,Acct-013,2026-03-25 04:00:00+00:00,Storage,s3-standard,"""7,284""",units,728.4,ap-south-1,NULL
U7114,ACCT-010,2026/03/26 07:00,Storage,Cold-Archive,"""10,462""",min,1046.2,eu-west-1,T-202
U7115,ACCT-010,2026-03-10 12:00:00+00:00,Storage,S3-Standard,"""2,388""",hrs,238.8,ap-south-1,NULL
U7116,ACCT-012,2026/03/14 14:00,Networking,LoadBalancer,"""9,864""",units,"""₹ 986.4""",global,T-594
U7117,acct-009,2026-03-18 23:00:00+00:00,Storage,ebs-vol,19280,hrs,1928.0,ap-south 1,NULL
U7118,acct-009,2026/03/28 11:00,Storage,S3-Standard,11048,seconds,1104.8,us-east-1,T-133
U7118,ACCT-009,2026/03/28 11:00,Storage,S3-STANDARD,11048,seconds,1104.8,us-east-1,T-133
U7119, acct-011 ,2026/03/23 23:00,SaaS,Monitoring-App,795,units,79.5,us-east-1,NULL
U7120, acct-011 ,2026/03/22 04:00,Storage,S3-Standard,1659,hrs,"""₹ 165.9""",eu-west-1,T-506
U7121,ACCT-012,2026/03/18 25:05,SaaS,Monitoring-App,7800,units,780.0,ap-south-1,NULL
U7122,ACCT-010,2026/03/22 11:00,Networking,VPN-Gateway,4508,GB,"""₹ 450.8""",eu-west-1,NULL
U7123,ACCT-010,2026/03/23 08:00,SaaS,Auth-Service,13141,seconds,1314.1,global,T-442
U7124, acct-011 ,2026/03/27 25:05,Networking,VPN-Gateway,1928,hrs,192.8,ap-south 1,T-471
U7125,ACCT-012,2026/03/17 21:00,Compute,GPU-inst,19449,seconds,1944.9,eu-west-1,NULL
U7126,ACCT-010,2026/03/26 03:00,Storage,s3-standard,8132,hrs,"""₹ 813.2""",eu-west-1,NULL
U7127,acct-009,2026/03/30 25:05,SaaS,Monitoring-App,9001,hrs,900.1,us-east-1,NULL
U7128,ACCT-010,2026/03/10 01:00,Networking,LoadBalancer,8565,units,856.5,us-east-1,NULL
U7129,acct-009,2026/03/30 15:00,Database,Aurora-DB,12822,GB,"""₹ 1,282.2""",us-east-1,NULL
U7130, acct-011 ,2026/03/13 15:00,Database,NoSQL-Tbl,17887,units,1788.7,us-east 1,T-738
U7131,ACCT-010,2026-03-24 06:00:00+00:00,Database,RDS-MultiAZ,3107,hrs,310.7,ap-south-1,NULL
U7132,ACCT-012,2026/03/29 01:00,Networking,LoadBalancer,11131,seconds,1113.1,us-east 1,NULL
U7133,ACCT-012,2026/03/17 20:00,Networking,VPN-Gateway,15936,hrs,1593.6,eu-west-1,NULL
U7134,acct-009,2026/03/28 13:00,Networking,VPN-Gateway,13778,units,"""₹ 1,377.8""",us-east 1,T-154
U7135,acct-009,2026/03/17 15:00,Database,AURORA-DB,"""11,485""",sec,1148.5,eu-west-1,T-623
U7136, acct-011 ,2026/03/22 25:05,Storage,S3-Standard,"""9,469""",sec,946.9,eu-west-1,T-510
U7137,ACCT-012,2026/03/24 21:00,Compute,GPU-inst,612,seconds,61.2,us-east 1,T-180
U7138,Acct-013,2026/03/13 10:00,Storage,S3-Standard,14066,GB,1406.6,us-east 1,NULL
U7139, acct-011 ,2026-03-12 03:00:00+00:00,Compute,VM-STD-4,"""4,635""",GB,463.5,ap-south-1,NULL
U7140, acct-011 ,2026/03/17 23:00,Storage,ebs-vol,4012,units,"""₹ 401.2""",ap-south 1,NULL
U7141,ACCT-012,2026-03-12 23:00:00+00:00,Storage,S3-Standard,4296,min,429.6,ap-south-1,NULL
U7142,acct-009,2026/03/23 25:05,Storage,S3-Standard,19248,GB,1924.8,us-east-1,T-468
U7143,ACCT-010,2026/03/10 15:00,Networking,DataTransfer,6710,GB,671.0,us-east-1,NULL
U7143,ACCT-010,2026/03/10 15:00,Networking,DATATRANSFER,6710,seconds,671.0,us-east-1,NULL
U7144,ACCT-012,2026-03-20 09:00:00+00:00,Networking,VPN-Gateway,"""5,518""",units,551.8,eu-west-1,T-201
U7145,ACCT-010,2026/03/21 20:00,Storage,Cold-Archive,19769,seconds,1976.9,eu-west-1,NULL
U7146,acct-009,2026-03-29 07:00:00+00:00,SaaS,Auth-Service,8399,GB,839.9,us-east 1,T-208
U7147, acct-011 ,2026/03/29 14:00,Networking,LoadBalancer,14679,seconds,1467.9,us-east-1,T-678
U7148,acct-009,2026/03/15 16:00,Storage,Cold-Archive,14483,sec,1448.3,us-east-1,NULL
U7149,ACCT-010,2026-03-27 10:00:00+00:00,Compute,VM-STD-4,11423,hrs,1142.3,global,NULL
U7150,Acct-013,2026/03/24 25:05,Storage,s3-standard,12012,hrs,1201.2,us-east 1,NULL
U7151,ACCT-010,2026/03/15 05:00,Networking,VPN-Gateway,18912,sec,"""₹ 1,891.2""",eu-west-1,NULL
U7152,ACCT-010,2026/03/14 02:00,Database,NoSQL-Tbl,7523,GB,752.3,ap-south-1,T-203
U7152,ACCT-010,2026/03/14 02:00,Database,NOSQL-TBL,7523,seconds,752.3,ap-south-1,T-203
U7153,Acct-013,2026-03-23 07:00:00+00:00,Networking,VPN-Gateway,15967,units,"""₹ 1,596.7""",us-east 1,NULL
U7154, acct-011 ,2026/03/12 19:00,Database,NoSQL-Tbl,15820,sec,"""₹ 1,582.0""",ap-south-1,NULL
U7154,ACCT-011,2026/03/12 19:00,Database,NOSQL-TBL,15820,seconds,1582.0,ap-south-1,NULL
U7155, acct-011 ,2026/03/18 20:00,Compute,VM-STD-4,15480,GB,"""₹ 1,548.0""",global,NULL
U7156,Acct-013,2026/03/17 11:00,Networking,DataTransfer,9355,units,"""₹ 935.5""",us-east 1,NULL
U7157,acct-009,2026/03/27 00:00,Networking,VPN-Gateway,"""18,739""",sec,1873.9,eu-west-1,NULL
U7158,acct-009,2026/03/26 03:00,Networking,VPN-Gateway,15554,min,1555.4,global,NULL
U7159,acct-009,2026/03/13 02:00,Compute,compute-v2,2389,units,"""₹ 238.9""",us-east 1,NULL
U7160,acct-009,2026/03/29 14:00,Compute,compute-v2,9116,seconds,911.6,global,NULL
U7161,Acct-013,2026/03/30 17:00,Database,AURORA-DB,8613,sec,861.3,global,NULL
U7162,ACCT-012,2026-03-28 15:00:00+00:00,Compute,VM-STD-4,6216,seconds,"""₹ 621.6""",ap-south 1,NULL
U7163,acct-009,2026/03/25 13:00,Compute,VM-STD-4,14539,units,"""₹ 1,453.9""",us-east-1,NULL
U7164,ACCT-012,2026/03/19 23:00,Database,AURORA-DB,741,GB,74.1,us-east 1,T-866
U7165,ACCT-012,2026/03/23 15:00,Storage,Cold-Archive,13389,sec,"""₹ 1,338.9""",ap-south 1,NULL
U7166, acct-011 ,2026/03/11 00:00,Database,Aurora-DB,16672,GB,1667.2,ap-south-1,T-416
U7167,ACCT-010,2026/03/19 02:00,SaaS,Monitoring-App,10769,sec,1076.9,eu-west-1,T-688
U7168,ACCT-012,2026-03-28 16:00:00+00:00,SaaS,Email-API,15525,units,1552.5,global,T-697
U7169,ACCT-010,2026/03/22 07:00,Networking,VPN-Gateway,1079,seconds,107.9,ap-south 1,T-968
U7170,ACCT-012,2026/03/15 19:00,Storage,ebs-vol,12620,GB,1262.0,us-east 1,T-670
U7171, acct-011 ,2026/03/21 07:00,Networking,LoadBalancer,19604,min,1960.4,global,T-393
U7171,ACCT-011,2026/03/21 07:00,Networking,LOADBALANCER,19604,seconds,1960.4,global,T-393
U7172,ACCT-012,2026/03/28 16:00,SaaS,Monitoring-App,14027,hrs,1402.7,ap-south-1,NULL
U7173,ACCT-010,2026/03/14 19:00,Networking,LoadBalancer,"""7,771""",hrs,"""₹ 777.1""",ap-south 1,T-871
U7174,acct-009,2026-03-11 11:00:00+00:00,Compute,compute-v2,17711,GB,1771.1,eu-west-1,NULL
U7175,Acct-013,2026-03-13 22:00:00+00:00,Storage,ebs-vol,9672,sec,967.2,ap-south-1,NULL
U7176,ACCT-012,2026-03-12 23:00:00+00:00,Database,AURORA-DB,16889,sec,1688.9,ap-south-1,NULL
U7177,ACCT-012,2026/03/12 17:00,Storage,ebs-vol,"""17,965""",units,1796.5,us-east 1,T-520
U7178,ACCT-010,2026-03-16 06:00:00+00:00,SaaS,Monitoring-App,13064,sec,"""₹ 1,306.4""",ap-south-1,T-101
U7179, acct-011 ,2026/03/28 06:00,SaaS,Email-API,18636,units,1863.6,global,T-890
U7180,ACCT-012,2026-03-26 11:00:00+00:00,Networking,VPN-Gateway,9915,sec,"""₹ 991.5""",ap-south 1,NULL
U7181,Acct-013,2026/03/18 19:00,Database,AURORA-DB,"""9,681""",units,968.1,eu-west-1,NULL
U7181,ACCT-013,2026/03/18 19:00,Database,AURORA-DB,9681,seconds,968.1,eu-west-1,NULL
U7182,ACCT-010,2026-03-16 05:00:00+00:00,Compute,VM-std_4,12787,units,1278.7,us-east-1,NULL
U7183,ACCT-012,2026/03/19 14:00,Storage,Cold-Archive,"""12,062""",GB,"""₹ 1,206.2""",us-east-1,NULL
U7184,ACCT-012,2026/03/19 01:00,SaaS,Auth-Service,13033,min,1303.3,ap-south-1,NULL
U7185,ACCT-012,2026/03/21 25:05,Storage,Cold-Archive,8951,units,895.1,us-east-1,NULL
U7186, acct-011 ,2026/03/30 16:00,Database,NoSQL-Tbl,5590,seconds,559.0,global,T-409
U7187,ACCT-012,2026-03-11 15:00:00+00:00,Storage,s3-standard,5587,GB,558.7,global,T-729
U7188,acct-009,2026/03/10 10:00,Storage,ebs-vol,3393,hrs,"""₹ 339.3""",ap-south-1,T-795
U7189, acct-011 ,2026/03/27 25:05,Compute,VM-STD-4,1812,min,181.2,us-east 1,T-812
U7190,ACCT-012,2026-03-11 15:00:00+00:00,Storage,s3-standard,11946,GB,1194.6,us-east 1,T-715
U7191,ACCT-010,2026/03/15 12:00,Database,NoSQL-Tbl,"""3,829""",min,"""₹ 382.9""",ap-south-1,NULL
U7192,ACCT-010,2026/03/25 20:00,Compute,GPU-inst,11254,hrs,1125.4,ap-south 1,T-307
U7193,Acct-013,2026/03/30 20:00,Networking,DataTransfer,18458,units,"""₹ 1,845.8""",eu-west-1,T-528
U7194,Acct-013,2026/03/23 25:05,Networking,LoadBalancer,9680,min,"""₹ 968.0""",us-east 1,T-541
U7195,Acct-013,2026/03/30 19:00,Storage,Cold-Archive,"""14,341""",hrs,1434.1,global,T-734
U7196,Acct-013,2026/03/26 21:00,Networking,VPN-Gateway,13596,min,"""₹ 1,359.6""",us-east 1,NULL
U7197,ACCT-010,2026-03-15 11:00:00+00:00,SaaS,Auth-Service,8230,sec,"""₹ 823.0""",us-east-1,NULL
U7198,ACCT-010,2026-03-16 15:00:00+00:00,Storage,Cold-Archive,11829,min,1182.9,us-east 1,T-419
U7199,ACCT-012,2026/03/20 03:00,Database,NoSQL-Tbl,"""6,387""",seconds,"""₹ 638.7""",ap-south-1,NULL
U7200,ACCT-012,2026/03/16 18:00,SaaS,Monitoring-App,11981,sec,1198.1,ap-south 1,NULL
U7201,Acct-013,2026/03/24 23:00,SaaS,Monitoring-App,13954,GB,1395.4,ap-south 1,T-587
U7202,ACCT-010,2026-03-15 10:00:00+00:00,Networking,LoadBalancer,16550,seconds,1655.0,us-east-1,NULL
U7203,ACCT-012,2026/03/27 25:05,Networking,LoadBalancer,14931,seconds,"""₹ 1,493.1""",eu-west-1,T-180
U7203,ACCT-012,2026/03/27 25:05,Networking,LOADBALANCER,14931,seconds,1493.1,eu-west-1,T-180
U7204,Acct-013,2026/03/17 12:00,Networking,VPN-Gateway,14306,min,1430.6,global,NULL
U7205,acct-009,2026-03-26 03:00:00+00:00,Database,Aurora-DB,"""9,252""",GB,"""₹ 925.2""",us-east 1,NULL
U7206,Acct-013,2026/03/21 06:00,SaaS,Email-API,"""14,359""",min,"""₹ 1,435.9""",us-east 1,T-951
U7207,Acct-013,2026/03/13 25:05,Networking,VPN-Gateway,"""15,185""",units,1518.5,eu-west-1,NULL
U7208, acct-011 ,2026/03/14 08:00,Database,Aurora-DB,"""10,421""",GB,1042.1,eu-west-1,T-218
U7209, acct-011 ,2026-03-12 07:00:00+00:00,Networking,VPN-Gateway,17905,units,"""₹ 1,790.5""",eu-west-1,NULL
U7210,ACCT-012,2026-03-21 02:00:00+00:00,Storage,s3-standard,1883,hrs,188.3,us-east-1,T-103
U7211, acct-011 ,2026/03/29 05:00,Networking,VPN-Gateway,4821,units,482.1,us-east 1,NULL
U7212, acct-011 ,2026/03/15 02:00,Database,AURORA-DB,13426,seconds,1342.6,ap-south-1,T-290
U7213,acct-009,2026-03-22 22:00:00+00:00,Networking,VPN-Gateway,8735,GB,"""₹ 873.5""",us-east 1,NULL
U7214,ACCT-012,2026/03/28 17:00,Networking,LoadBalancer,19428,min,1942.8,us-east-1,T-460
U7215, acct-011 ,2026/03/29 03:00,Networking,DataTransfer,13863,hrs,1386.3,eu-west-1,T-201
U7216,ACCT-010,2026-03-12 22:00:00+00:00,SaaS,Email-API,10366,hrs,1036.6,ap-south 1,NULL
U7217,ACCT-012,2026/03/25 15:00,Networking,LoadBalancer,12674,hrs,"""₹ 1,267.4""",us-east-1,T-911
U7218,ACCT-010,2026/03/12 20:00,SaaS,Email-API,14926,sec,1492.6,ap-south-1,T-112
