USAGE_ID,ACCOUNT,DEPARTMENT,TS_SYNCHRONIZED,SERVICE,SKU,USAGE_SECONDS,COST_USD,REGION_CLEAN,SLA_STATUS,TICKET_ID
U7017,ACCT-010,Engineering,2026-03-29 11:00:00+00:00,Database,RDS-MULTIAZ,65580.0,109.3,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7018,ACCT-013,UNASSIGNED,2026-03-29 11:00:00+00:00,Compute,COMPUTE-V2,13351.0,1335.1,global,NORMAL_OPERATIONS,INTERNAL
U7019,ACCT-013,UNASSIGNED,2026-03-12 20:00:00+00:00,Networking,VPN-GATEWAY,15207.0,1520.7,us-east-1,NORMAL_OPERATIONS,T-XXX
U7020,ACCT-013,UNASSIGNED,2026-03-10 13:55:00+00:00,Database,NOSQL-TBL,8619.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7021,ACCT-011,Marketing,2026-03-25 11:55:00+00:00,Storage,S3-STANDARD,1108260.0,1847.1,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7023,ACCT-009,Data Science,2026-03-11 02:00:00+00:00,Networking,VPN-GATEWAY,10977.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7024,ACCT-009,Data Science,2026-03-20 03:55:00+00:00,Database,RDS-MULTIAZ,14410.0,1441.0,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7025,ACCT-010,Engineering,2026-03-25 02:00:00+00:00,Storage,EBS-VOL,12133.0,1213.3,global,NORMAL_OPERATIONS,INTERNAL
U7026,ACCT-013,UNASSIGNED,2026-03-25 02:00:00+00:00,Saas,MONITORING-APP,9670.0,,us-east-1,NORMAL_OPERATIONS,T-XXX
U7027,ACCT-010,Engineering,2026-03-25 01:55:00+00:00,Networking,LOADBALANCER,11234.0,1123.4,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7028,ACCT-011,Marketing,2026-03-10 00:00:00+00:00,Database,NOSQL-TBL,14829.0,1482.9,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7029,ACCT-013,UNASSIGNED,2026-03-10 00:00:00+00:00,Compute,VM-STD-4,4603.0,,global,NORMAL_OPERATIONS,INTERNAL
U7030,ACCT-011,Marketing,2026-03-10 00:00:00+00:00,Storage,COLD-ARCHIVE,109740.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7031,ACCT-010,Engineering,2026-03-11 05:00:00+00:00,Networking,DATATRANSFER,8724.0,872.4,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7032,ACCT-013,UNASSIGNED,2026-03-30 12:00:00+00:00,Compute,COMPUTE-V2,513480.0,,global,NORMAL_OPERATIONS,INTERNAL
U7033,ACCT-013,UNASSIGNED,2026-03-30 12:00:00+00:00,Compute,VM-STD-4,4387.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7034,ACCT-011,Marketing,2026-03-30 12:00:00+00:00,Networking,LOADBALANCER,332220.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7035,ACCT-013,UNASSIGNED,2026-03-21 15:55:00+00:00,Storage,COLD-ARCHIVE,867180.0,1445.3,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7036,ACCT-011,Marketing,2026-03-21 16:00:00+00:00,Database,AURORA-DB,71190000.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7037,ACCT-011,Marketing,2026-03-15 22:00:00+00:00,Database,AURORA-DB,10898.0,1089.8,global,NORMAL_OPERATIONS,INTERNAL
U7038,ACCT-013,UNASSIGNED,2026-03-13 22:00:00+00:00,Networking,DATATRANSFER,29167200.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7039,ACCT-013,UNASSIGNED,2026-03-13 22:00:00+00:00,Database,AURORA-DB,7056.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7040,ACCT-009,Data Science,2026-03-27 12:00:00+00:00,Database,RDS-MULTIAZ,13948.0,1394.8,us-east-1,NORMAL_OPERATIONS,T-XXX
U7041,ACCT-009,Data Science,2026-03-27 12:00:00+00:00,Saas,AUTH-SERVICE,7013.0,,global,NORMAL_OPERATIONS,T-XXX
U7042,ACCT-009,Data Science,2026-03-14 16:00:00+00:00,Saas,AUTH-SERVICE,231900.0,386.5,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7043,ACCT-010,Engineering,2026-03-25 16:00:00+00:00,Compute,GPU-INST,34056000.0,946.0,global,NORMAL_OPERATIONS,INTERNAL
U7044,ACCT-013,UNASSIGNED,2026-03-25 15:55:00+00:00,Storage,COLD-ARCHIVE,1135680.0,1892.8,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7045,ACCT-009,Data Science,2026-03-20 01:00:00+00:00,Compute,GPU-INST,111720.0,186.2,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7046,ACCT-012,Product,2026-03-16 08:00:00+00:00,Saas,MONITORING-APP,6477.0,647.7,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7047,ACCT-009,Data Science,2026-03-17 07:55:00+00:00,Saas,AUTH-SERVICE,25437600.0,706.6,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7048,ACCT-010,Engineering,2026-03-17 07:55:00+00:00,Networking,VPN-GATEWAY,1012560.0,1687.6,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7049,ACCT-010,Engineering,2026-03-13 19:00:00+00:00,Database,RDS-MULTIAZ,19130.0,,us-east-1,NORMAL_OPERATIONS,T-XXX
U7050,ACCT-012,Product,2026-03-16 11:00:00+00:00,Compute,VM-STD-4,11844.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7051,ACCT-012,Product,2026-03-18 11:00:00+00:00,Networking,DATATRANSFER,2666.0,,global,NORMAL_OPERATIONS,T-XXX
U7052,ACCT-012,Product,2026-03-10 16:00:00+00:00,Saas,EMAIL-API,7794.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7053,ACCT-013,UNASSIGNED,2026-03-11 03:00:00+00:00,Compute,GPU-INST,17248.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7054,ACCT-009,Data Science,2026-03-10 12:00:00+00:00,Compute,GPU-INST,5687.0,568.7,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7055,ACCT-012,Product,2026-03-10 12:00:00+00:00,Saas,MONITORING-APP,708240.0,,global,NORMAL_OPERATIONS,T-XXX
U7056,ACCT-010,Engineering,2026-03-24 10:00:00+00:00,Database,AURORA-DB,2577.0,257.7,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7057,ACCT-011,Marketing,2026-03-24 09:55:00+00:00,Database,NOSQL-TBL,17333.0,1733.3,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7058,ACCT-013,UNASSIGNED,2026-03-23 21:00:00+00:00,Saas,EMAIL-API,8306.0,830.6,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7059,ACCT-012,Product,2026-03-23 21:00:00+00:00,Storage,COLD-ARCHIVE,6170.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7060,ACCT-010,Engineering,2026-03-30 14:00:00+00:00,Networking,DATATRANSFER,17815.0,1781.5,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7061,ACCT-009,Data Science,2026-03-20 00:00:00+00:00,Database,AURORA-DB,29142000.0,,us-east-1,NORMAL_OPERATIONS,T-XXX
U7062,ACCT-011,Marketing,2026-03-14 17:00:00+00:00,Compute,VM-STD-4,12610800.0,350.3,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7063,ACCT-012,Product,2026-03-29 06:55:00+00:00,Saas,AUTH-SERVICE,15883.0,,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7064,ACCT-012,Product,2026-03-29 07:00:00+00:00,Networking,DATATRANSFER,13086000.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7065,ACCT-009,Data Science,2026-03-27 05:00:00+00:00,Storage,S3-STANDARD,6455.0,,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7066,ACCT-011,Marketing,2026-03-25 05:00:00+00:00,Saas,EMAIL-API,5163.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7067,ACCT-011,Marketing,2026-03-25 05:00:00+00:00,Saas,MONITORING-APP,892260.0,1487.1,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7068,ACCT-013,UNASSIGNED,2026-03-25 05:00:00+00:00,Saas,EMAIL-API,13159.0,1315.9,global,NORMAL_OPERATIONS,INTERNAL
U7069,ACCT-009,Data Science,2026-03-25 05:00:00+00:00,Saas,AUTH-SERVICE,1141740.0,1902.9,global,NORMAL_OPERATIONS,T-XXX
U7070,ACCT-011,Marketing,2026-03-14 19:00:00+00:00,Storage,COLD-ARCHIVE,7415.0,741.5,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7071,ACCT-010,Engineering,2026-03-29 05:00:00+00:00,Storage,S3-STANDARD,2160.0,216.0,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7072,ACCT-012,Product,2026-03-21 23:55:00+00:00,Storage,COLD-ARCHIVE,16873.0,1687.3,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7073,ACCT-012,Product,2026-03-24 13:00:00+00:00,Saas,MONITORING-APP,6158.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7074,ACCT-009,Data Science,2026-03-23 22:00:00+00:00,Compute,VM-STD-4,19342.0,1934.2,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7075,ACCT-012,Product,2026-03-23 22:00:00+00:00,Storage,EBS-VOL,10052.0,1005.2,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7076,ACCT-012,Product,2026-03-23 22:00:00+00:00,Database,RDS-MULTIAZ,358440.0,597.4,us-east-1,NORMAL_OPERATIONS,T-XXX
U7077,ACCT-009,Data Science,2026-03-23 22:00:00+00:00,Storage,EBS-VOL,3232800.0,89.8,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7078,ACCT-012,Product,2026-03-23 22:00:00+00:00,Networking,VPN-GATEWAY,860700.0,1434.5,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7079,ACCT-009,Data Science,2026-03-11 03:00:00+00:00,Storage,COLD-ARCHIVE,9645.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7080,ACCT-012,Product,2026-03-11 03:00:00+00:00,Database,NOSQL-TBL,555960.0,926.6,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7081,ACCT-010,Engineering,2026-03-23 19:55:00+00:00,Compute,VM-STD-4,17670.0,1767.0,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7082,ACCT-012,Product,2026-03-29 10:00:00+00:00,Storage,S3-STANDARD,18091.0,1809.1,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7083,ACCT-013,UNASSIGNED,2026-03-29 10:00:00+00:00,Saas,EMAIL-API,9397.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7084,ACCT-011,Marketing,2026-03-13 02:55:00+00:00,Storage,S3-STANDARD,316740.0,527.9,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7085,ACCT-009,Data Science,2026-03-12 22:00:00+00:00,Networking,VPN-GATEWAY,346620.0,577.7,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7086,ACCT-012,Product,2026-03-10 17:00:00+00:00,Networking,LOADBALANCER,2325.0,232.5,global,NORMAL_OPERATIONS,INTERNAL
U7087,ACCT-011,Marketing,2026-03-10 07:00:00+00:00,Networking,LOADBALANCER,15758.0,1575.8,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7088,ACCT-012,Product,2026-03-10 07:00:00+00:00,Saas,EMAIL-API,920.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7089,ACCT-009,Data Science,2026-03-17 04:00:00+00:00,Compute,GPU-INST,9374.0,937.4,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7090,ACCT-013,UNASSIGNED,2026-03-12 18:00:00+00:00,Compute,GPU-INST,38170800.0,1060.3,global,NORMAL_OPERATIONS,T-XXX
U7091,ACCT-009,Data Science,2026-03-12 18:00:00+00:00,Saas,AUTH-SERVICE,679080.0,1131.8,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7092,ACCT-012,Product,2026-03-24 20:00:00+00:00,Networking,VPN-GATEWAY,12780.0,,us-east-1,NORMAL_OPERATIONS,T-XXX
U7093,ACCT-010,Engineering,2026-03-25 09:55:00+00:00,Storage,COLD-ARCHIVE,12904.0,,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7094,ACCT-009,Data Science,2026-03-11 09:55:00+00:00,Storage,COLD-ARCHIVE,47804400.0,1327.9,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7095,ACCT-011,Marketing,2026-03-26 18:00:00+00:00,Compute,VM-STD-4,8907.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7096,ACCT-013,UNASSIGNED,2026-03-16 08:00:00+00:00,Networking,DATATRANSFER,487500.0,,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7097,ACCT-013,UNASSIGNED,2026-03-24 09:00:00+00:00,Storage,S3-STANDARD,19537200.0,542.7,us-east-1,NORMAL_OPERATIONS,T-XXX
U7098,ACCT-009,Data Science,2026-03-13 12:55:00+00:00,Database,AURORA-DB,14662.0,1466.2,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7099,ACCT-009,Data Science,2026-03-19 00:55:00+00:00,Networking,VPN-GATEWAY,17900.0,1790.0,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7100,ACCT-013,UNASSIGNED,2026-03-27 08:00:00+00:00,Database,AURORA-DB,12121.0,1212.1,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7101,ACCT-013,UNASSIGNED,2026-03-24 21:00:00+00:00,Compute,COMPUTE-V2,15802.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7102,ACCT-013,UNASSIGNED,2026-03-14 10:55:00+00:00,Database,NOSQL-TBL,15727.0,,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7103,ACCT-010,Engineering,2026-03-10 20:00:00+00:00,Networking,VPN-GATEWAY,109380.0,182.3,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7104,ACCT-011,Marketing,2026-03-10 20:00:00+00:00,Database,AURORA-DB,12471.0,,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7105,ACCT-011,Marketing,2026-03-10 20:00:00+00:00,Networking,VPN-GATEWAY,10999.0,1099.9,global,NORMAL_OPERATIONS,INTERNAL
U7106,ACCT-012,Product,2026-03-22 02:00:00+00:00,Saas,MONITORING-APP,3386.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7107,ACCT-013,UNASSIGNED,2026-03-22 02:00:00+00:00,Database,AURORA-DB,8138.0,813.8,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7108,ACCT-013,UNASSIGNED,2026-03-16 08:00:00+00:00,Compute,VM-STD-4,855420.0,1425.7,global,NORMAL_OPERATIONS,INTERNAL
U7109,ACCT-012,Product,2026-03-28 20:55:00+00:00,Compute,GPU-INST,1798.0,,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7110,ACCT-010,Engineering,2026-03-19 16:00:00+00:00,Database,AURORA-DB,1115100.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7111,ACCT-012,Product,2026-03-19 16:00:00+00:00,Database,RDS-MULTIAZ,2311.0,231.1,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7112,ACCT-011,Marketing,2026-03-20 02:00:00+00:00,Compute,GPU-INST,1929.0,192.9,us-east-1,NORMAL_OPERATIONS,T-XXX
U7113,ACCT-013,UNASSIGNED,2026-03-20 01:55:00+00:00,Storage,S3-STANDARD,7284.0,728.4,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7114,ACCT-010,Engineering,2026-03-26 07:00:00+00:00,Storage,COLD-ARCHIVE,627720.0,1046.2,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7115,ACCT-010,Engineering,2026-03-26 06:55:00+00:00,Storage,S3-STANDARD,8596800.0,238.8,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7116,ACCT-012,Product,2026-03-14 14:00:00+00:00,Networking,LOADBALANCER,9864.0,,global,NORMAL_OPERATIONS,T-XXX
U7117,ACCT-009,Data Science,2026-03-14 14:00:00+00:00,Storage,EBS-VOL,69408000.0,1928.0,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7118,ACCT-009,Data Science,2026-03-28 11:00:00+00:00,Storage,S3-STANDARD,11048.0,1104.8,us-east-1,NORMAL_OPERATIONS,T-XXX
U7119,ACCT-011,Marketing,2026-03-23 23:00:00+00:00,Saas,MONITORING-APP,795.0,79.5,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7120,ACCT-011,Marketing,2026-03-22 04:00:00+00:00,Storage,S3-STANDARD,5972400.0,,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7121,ACCT-012,Product,2026-03-22 03:55:00+00:00,Saas,MONITORING-APP,7800.0,780.0,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7122,ACCT-010,Engineering,2026-03-22 11:00:00+00:00,Networking,VPN-GATEWAY,4508.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7123,ACCT-010,Engineering,2026-03-23 08:00:00+00:00,Saas,AUTH-SERVICE,13141.0,1314.1,global,NORMAL_OPERATIONS,T-XXX
U7124,ACCT-011,Marketing,2026-03-23 08:00:00+00:00,Networking,VPN-GATEWAY,6940800.0,192.8,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7125,ACCT-012,Product,2026-03-17 21:00:00+00:00,Compute,GPU-INST,19449.0,1944.9,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7126,ACCT-010,Engineering,2026-03-26 03:00:00+00:00,Storage,S3-STANDARD,29275200.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7127,ACCT-009,Data Science,2026-03-26 03:00:00+00:00,Saas,MONITORING-APP,32403600.0,900.1,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7128,ACCT-010,Engineering,2026-03-10 01:00:00+00:00,Networking,LOADBALANCER,8565.0,856.5,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7129,ACCT-009,Data Science,2026-03-30 15:00:00+00:00,Database,AURORA-DB,12822.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7130,ACCT-011,Marketing,2026-03-13 15:00:00+00:00,Database,NOSQL-TBL,17887.0,1788.7,us-east-1,NORMAL_OPERATIONS,T-XXX
U7131,ACCT-010,Engineering,2026-03-13 14:55:00+00:00,Database,RDS-MULTIAZ,11185200.0,310.7,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7132,ACCT-012,Product,2026-03-29 01:00:00+00:00,Networking,LOADBALANCER,11131.0,1113.1,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7133,ACCT-012,Product,2026-03-17 20:00:00+00:00,Networking,VPN-GATEWAY,57369600.0,1593.6,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7134,ACCT-009,Data Science,2026-03-28 13:00:00+00:00,Networking,VPN-GATEWAY,13778.0,,us-east-1,NORMAL_OPERATIONS,T-XXX
U7135,ACCT-009,Data Science,2026-03-17 15:00:00+00:00,Database,AURORA-DB,11485.0,1148.5,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7136,ACCT-011,Marketing,2026-03-17 15:00:00+00:00,Storage,S3-STANDARD,9469.0,946.9,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7137,ACCT-012,Product,2026-03-24 21:00:00+00:00,Compute,GPU-INST,612.0,61.2,us-east-1,NORMAL_OPERATIONS,T-XXX
U7138,ACCT-013,UNASSIGNED,2026-03-13 10:00:00+00:00,Storage,S3-STANDARD,14066.0,1406.6,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7139,ACCT-011,Marketing,2026-03-13 09:55:00+00:00,Compute,VM-STD-4,4635.0,463.5,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7140,ACCT-011,Marketing,2026-03-17 23:00:00+00:00,Storage,EBS-VOL,4012.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7141,ACCT-012,Product,2026-03-17 22:55:00+00:00,Storage,S3-STANDARD,257760.0,429.6,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7142,ACCT-009,Data Science,2026-03-17 23:00:00+00:00,Storage,S3-STANDARD,19248.0,1924.8,us-east-1,NORMAL_OPERATIONS,T-XXX
U7143,ACCT-010,Engineering,2026-03-10 15:00:00+00:00,Networking,DATATRANSFER,6710.0,671.0,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7144,ACCT-012,Product,2026-03-10 15:00:00+00:00,Networking,VPN-GATEWAY,5518.0,551.8,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7145,ACCT-010,Engineering,2026-03-21 20:00:00+00:00,Storage,COLD-ARCHIVE,19769.0,1976.9,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7146,ACCT-009,Data Science,2026-03-21 20:00:00+00:00,Saas,AUTH-SERVICE,8399.0,839.9,us-east-1,NORMAL_OPERATIONS,T-XXX
U7147,ACCT-011,Marketing,2026-03-29 14:00:00+00:00,Networking,LOADBALANCER,14679.0,1467.9,us-east-1,NORMAL_OPERATIONS,T-XXX
U7148,ACCT-009,Data Science,2026-03-15 16:00:00+00:00,Storage,COLD-ARCHIVE,14483.0,1448.3,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7149,ACCT-010,Engineering,2026-03-15 16:00:00+00:00,Compute,VM-STD-4,41122800.0,1142.3,global,NORMAL_OPERATIONS,INTERNAL
U7150,ACCT-013,UNASSIGNED,2026-03-15 16:00:00+00:00,Storage,S3-STANDARD,43243200.0,1201.2,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7151,ACCT-010,Engineering,2026-03-15 05:00:00+00:00,Networking,VPN-GATEWAY,18912.0,,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7152,ACCT-010,Engineering,2026-03-14 01:55:00+00:00,Database,NOSQL-TBL,7523.0,752.3,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7153,ACCT-013,UNASSIGNED,2026-03-14 02:00:00+00:00,Networking,VPN-GATEWAY,15967.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7154,ACCT-011,Marketing,2026-03-12 18:55:00+00:00,Database,NOSQL-TBL,15820.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7155,ACCT-011,Marketing,2026-03-18 20:00:00+00:00,Compute,VM-STD-4,15480.0,,global,NORMAL_OPERATIONS,INTERNAL
U7156,ACCT-013,UNASSIGNED,2026-03-17 11:00:00+00:00,Networking,DATATRANSFER,9355.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7157,ACCT-009,Data Science,2026-03-27 00:00:00+00:00,Networking,VPN-GATEWAY,18739.0,1873.9,eu-west-1,NORMAL_OPERATIONS,INTERNAL
U7158,ACCT-009,Data Science,2026-03-26 03:00:00+00:00,Networking,VPN-GATEWAY,933240.0,1555.4,global,NORMAL_OPERATIONS,INTERNAL
U7159,ACCT-009,Data Science,2026-03-13 02:00:00+00:00,Compute,COMPUTE-V2,2389.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7160,ACCT-009,Data Science,2026-03-29 14:00:00+00:00,Compute,COMPUTE-V2,9116.0,911.6,global,NORMAL_OPERATIONS,INTERNAL
U7161,ACCT-013,UNASSIGNED,2026-03-30 17:00:00+00:00,Database,AURORA-DB,8613.0,861.3,global,NORMAL_OPERATIONS,INTERNAL
U7162,ACCT-012,Product,2026-03-30 17:00:00+00:00,Compute,VM-STD-4,6216.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7163,ACCT-009,Data Science,2026-03-25 13:00:00+00:00,Compute,VM-STD-4,14539.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL
U7164,ACCT-012,Product,2026-03-19 23:00:00+00:00,Database,AURORA-DB,741.0,74.1,us-east-1,NORMAL_OPERATIONS,T-XXX
U7165,ACCT-012,Product,2026-03-23 15:00:00+00:00,Storage,COLD-ARCHIVE,13389.0,,ap-south-1,NORMAL_OPERATIONS,INTERNAL
U7166,ACCT-011,Marketing,2026-03-10 23:55:00+00:00,Database,AURORA-DB,16672.0,1667.2,ap-south-1,NORMAL_OPERATIONS,T-XXX
U7167,ACCT-010,Engineering,2026-03-19 02:00:00+00:00,Saas,MONITORING-APP,10769.0,1076.9,eu-west-1,NORMAL_OPERATIONS,T-XXX
U7168,ACCT-012,Product,2026-03-19 02:00:00+00:00,Saas,EMAIL-API,15525.0,1552.5,global,NORMAL_OPERATIONS,T-XXX
U7169,ACCT-010,Engineering,2026-03-22 07:00:00+00:00,Networking,VPN-GATEWAY,1079.0,107.9,ap-south-1,NORMAL_OPERATIONS,T-XXX
